LMG35	WINRATE	NMATCHES	event	PWINRATE	WML20	FOUNDED	HWINRATE	HHWINRATE	ID	WINRATE6	DEATH_AVG	DEATH_L25	KILL_AVG	TOP500B	LMG35V2	LMAVGV2	COUNTERS3	WINRATE3	WMG35	WMAVG	DPC	HHHWR_SUM	HHHWR_AVG
-0.1205	-10	270	win	50	-0.0011	-99697745	5	-2	3048555430	-8	2	-12	-3	0	-3	-168	0.2357	3	2	1	0	3	1.5
0.1205	10	-270	lose	50	0.0011	99697745	-5	2	3048555430	8	-2	12	3	0	3	168	-0.2357	-3	-2	-1	0	-3	-1.5
-0.0254	-7	62	win	43	-0.0538	-56636173	-8	-1	3048557882	-8	-1	5	-1	-1	-2	52	-0.1619	2	11	177	0	-9	-4.5
0.0254	7	-62	lose	57	0.0538	56636173	8	1	3048557882	8	1	-5	1	1	2	-52	0.1619	-2	-11	-177	0	9	4.5
0.099	0	230	win	70	-0.1051	-28942214	-4	-1	3048570623	-1	2	-10	0	7	11	254	-0.0592	0	15	187	0	-5	-2.5
-0.099	0	-230	lose	30	0.1051	28942214	4	1	3048570623	1	-2	10	0	-7	-11	-254	0.0592	0	-15	-187	0	5	2.5
0.0539	-6	-24	win	37	0.0003	-50249475	-2	-2	3048603306	-3	1	-1	0	3	5	74	-0.1104	-4	14	205	0	-4	-2.0
-0.0539	6	24	lose	63	-0.0003	50249475	2	2	3048603306	3	-1	1	0	-3	-5	-74	0.1104	4	-14	-205	0	4	2.0
0.2117	26	236	win	50	-0.0669	83661094	27	30	3048576752	20	-2	9	2	0	22	287	0.3958	27	-5	-59	0	57	28.5
-0.2117	-26	-236	lose	50	0.0669	-83661094	-27	-30	3048576752	-20	2	-9	-2	0	-22	-287	-0.3958	-27	5	59	0	-57	-28.5
-0.1056	9	-38	win	57	0.0591	88862582	7	10	3048569543	8	0	-3	4	-2	-11	-174	0.2678	-7	-23	-398	0	17	8.5
0.1056	-9	38	lose	43	-0.0591	-88862582	-7	-10	3048569543	-8	0	3	-4	2	11	174	-0.2678	7	23	398	0	-17	-8.5
-0.0417	-9	-96	win	50	0.0348	-1334746	0	-14	3048629502	-20	2	-3	-1	-4	-4	-174	0.3657	-19	7	149	0	-14	-7.0
0.0417	9	96	lose	50	-0.0348	1334746	0	14	3048629502	20	-2	3	1	4	4	174	-0.3657	19	-7	-149	0	14	7.0
0.0219	3	14	win	88	-0.0653	-17080209	6	13	3048721373	14	1	2	1	-2	2	104	-0.5242	11	0	38	0	19	9.5
-0.0219	-3	-14	lose	12	0.0653	17080209	-6	-13	3048721373	-14	-1	-2	-1	2	-2	-104	0.5242	-11	0	-38	0	-19	-9.5
0.0748	-15	47	win	14	0.0042	-51525328	-17	-16	3048768269	-15	4	-16	-2	-2	8	93	-0.0075	-13	-2	3	0	-33	-16.5
-0.0748	15	-47	lose	86	-0.0042	51525328	17	16	3048768269	15	-4	16	2	2	-8	-93	0.0075	13	2	-3	0	33	16.5
-0.0795	7	49	win	71	-0.0433	-61885807	13	13	3048837583	17	-2	8	0	-2	-8	-51	0.3933	17	-7	-73	0	26	13.0
0.0795	-7	-49	lose	29	0.0433	61885807	-13	-13	3048837583	-17	2	-8	0	2	8	51	-0.3933	-17	7	73	0	-26	-13.0
0.1274	-6	-184	win	70	-0.0428	-31615680	-6	9	3048923166	-4	-2	8	-4	1	12	199	0.7588	3	14	222	0	3	1.5
-0.1274	6	184	lose	30	0.0428	31615680	6	-9	3048923166	4	2	-8	4	-1	-12	-199	-0.7588	-3	-14	-222	0	-3	-1.5
0.1131	-3	45	win	50	-0.1767	-7300996	-10	8	3048957510	-3	4	-18	1	-5	15	219	-0.1265	-3	9	78	0	-2	-1.0
-0.1131	3	-45	lose	50	0.1767	7300996	10	-8	3048957510	3	-4	18	-1	5	-15	-219	0.1265	3	-9	-78	0	2	1.0
-0.0405	-10	-129	win	50	-0.0536	29114535	-1	5	3048913600	-6	-1	6	-3	0	-5	-54	0.4931	5	3	310	0	4	2.0
0.0405	10	129	lose	50	0.0536	-29114535	1	-5	3048913600	6	1	-6	3	0	5	54	-0.4931	-5	-3	-310	0	-4	-2.0
0.0631	-4	-93	win	71	0.0811	-76418707	-4	17	3049026196	-11	2	-9	-1	-2	6	-54	-0.2726	-10	-7	-78	0	13	6.5
-0.0631	4	93	lose	29	-0.0811	76418707	4	-17	3049026196	11	-2	9	1	2	-6	54	0.2726	10	7	78	0	-13	-6.5
0.0131	-3	-181	win	25	0.0161	-43888856	-4	-12	3049117071	-14	-2	4	1	4	1	54	0.6666	-25	-7	-9	0	-16	-8.0
-0.0131	3	181	lose	75	-0.0161	43888856	4	12	3049117071	14	2	-4	-1	-4	-1	-54	-0.6666	25	7	9	0	16	8.0
-0.0656	4	-16	win	50	-0.0232	1663067	4	17	3049073094	4	-2	8	-1	0	-7	-196	-0.0481	-3	-5	-81	0	21	10.5
0.0656	-4	16	lose	50	0.0232	-1663067	-4	-17	3049073094	-4	2	-8	1	0	7	196	0.0481	3	5	81	0	-21	-10.5
-0.0151	0	65	win	33	-0.123	-74829419	11	10	3049129583	5	-3	13	-2	-1	-1	-15	0.6795	43	17	378	0	21	10.5
0.0151	0	-65	lose	67	0.123	74829419	-11	-10	3049129583	-5	3	-13	2	1	1	15	-0.6795	-43	-17	-378	0	-21	-10.5
-0.2218	-2	-153	win	57	-0.046	106724505	18	17	3049187600	-1	2	-3	1	0	-23	-108	-0.8046	-3	12	210	0	35	17.5
0.2218	2	153	lose	43	0.046	-106724505	-18	-17	3049187600	1	-2	3	-1	0	23	108	0.8046	3	-12	-210	0	-35	-17.5
0.1056	-2	-82	win	20	0.0572	-49076269	4	-5	3049192050	15	-1	-6	2	-1	10	203	0.2843	11	7	34	0	-1	-0.5
-0.1056	2	82	lose	80	-0.0572	49076269	-4	5	3049192050	-15	1	6	-2	1	-10	-203	-0.2843	-11	-7	-34	0	1	0.5
