WINRATE	NMATCHES	event	PWINRATE	WM_L20	FOUNDED	HWINRATE	HHWINRATE	ID	WINRATE6	DEATH_AVG	DEATH_L25	KILL_AVG	TOP500	LM_G35	LM_AVG	COUNTERS	WINRATE3	WM_G35	WM_AVG	DPC	HWR_AVG
42	10	win	50	40	47346111	42	38	2337723585	42	-13	82	0	-1	0	0	0.0744	42	9	-607	0	40.0
-42	-10	lose	50	-40	-47346111	-42	-38	2337723585	-42	13	-82	0	1	0	0	-0.0744	-42	-9	607	0	-40.0
34	0	win	67	0	1037963	42	42	2337733265	34	-10	50	10	-5	0	330	-0.2974	34	0	-330	0	42.0
-34	0	lose	33	0	-1037963	-42	-42	2337733265	-34	10	-50	-10	5	0	-330	0.2974	-34	0	330	0	-42.0
-61	-10	win	50	-36	-10455933	-41	-61	2338218681	-61	15	-77	-8	-2	0	-48	0.2767	-61	-8	577	0	-51.0
61	10	lose	50	36	10455933	41	61	2338218681	61	-15	77	8	2	0	48	-0.2767	61	8	-577	0	51.0
-6	5	win	50	0	5249634	-7	-24	2338335953	-6	1	-4	-4	-4	20	32	0.0373	-6	50	581	0	-15.5
6	-5	lose	50	0	-5249634	7	24	2338335953	6	-1	4	4	4	-20	-32	-0.0373	6	-50	-581	0	15.5
-40	-10	win	67	-36	-10455933	-27	-34	2338332241	-40	11	-46	-5	-2	0	-125	-0.0608	-40	-8	569	0	-30.5
40	10	lose	33	36	10455933	27	34	2338332241	40	-11	46	5	2	0	125	0.0608	40	8	-569	0	30.5
10	5	win	67	0	5249634	14	-5	2338435683	10	-4	17	1	-4	-13	-35	-0.1982	10	60	530	0	4.5
-10	-5	lose	33	0	-5249634	-14	5	2338435683	-10	4	-17	-1	4	13	35	0.1982	-10	-60	-530	0	-4.5
25	-2	win	50	0	-11030348	20	10	2338747629	25	-10	27	0	1	-67	-280	0.3039	25	33	13	0	15.0
-25	2	lose	50	0	11030348	-20	-10	2338747629	-25	10	-27	0	-1	67	280	-0.3039	-25	-33	-13	0	-15.0
37	-2	win	67	0	-11030348	17	0	2338777465	37	-12	25	3	1	-50	-8	0.0178	37	17	-210	0	8.5
-37	2	lose	33	0	11030348	-17	0	2338777465	-37	12	-25	-3	-1	50	8	-0.0178	-37	-17	210	0	-8.5
-12	-2	win	50	0	-50249475	4	-25	2338851168	-12	0	3	3	-6	0	231	0.1547	-12	7	-170	0	-10.5
12	2	lose	50	0	50249475	-4	25	2338851168	12	0	-3	-3	6	0	-231	-0.1547	12	-7	170	0	10.5
5	7	win	50	0	74177909	-19	0	2338999834	5	1	-17	-1	2	10	132	0.2006	5	17	425	0	-9.5
-5	-7	lose	50	0	-74177909	19	0	2338999834	-5	-1	17	1	-2	-10	-132	-0.2006	-5	-17	-425	0	9.5
42	2	win	50	0	30655743	48	0	2339000345	42	-10	27	6	3	-33	96	-0.0464	42	25	-16	0	24.0
-42	-2	lose	50	0	-30655743	-48	0	2339000345	-42	10	-27	-6	-3	33	-96	0.0464	-42	-25	16	0	-24.0
8	-2	win	50	0	54119376	-4	0	2339022583	8	-6	7	0	-5	-50	-66	0.3047	8	-50	-649	0	-2.0
-8	2	lose	50	0	-54119376	4	0	2339022583	-8	6	-7	0	5	50	66	-0.3047	-8	50	649	0	2.0
51	2	win	67	0	30655743	43	34	2339062200	51	-10	17	7	3	-25	62	-0.2003	51	20	-40	0	38.5
-51	-2	lose	33	0	-30655743	-43	-34	2339062200	-51	10	-17	-7	-3	25	-62	0.2003	-51	-20	40	0	-38.5
23	-2	win	67	0	54119376	8	7	2339112979	23	-8	8	3	-5	-67	-171	-0.0546	23	-25	-477	0	7.5
-23	2	lose	33	0	-54119376	-8	-7	2339112979	-23	8	-8	-3	5	67	171	0.0546	-23	25	477	0	-7.5
21	-5	win	50	-17	-82516383	9	21	2339170867	21	-6	21	0	2	17	192	-0.0267	21	-12	-436	0	15.0
-21	5	lose	50	17	82516383	-9	-21	2339170867	-21	6	-21	0	-2	-17	-192	0.0267	-21	12	436	0	-15.0
-50	0	win	50	0	33225409	-36	-27	2339205484	-50	-1	29	-10	3	80	282	0.5068	-50	-52	-816	0	-31.5
50	0	lose	50	0	-33225409	36	27	2339205484	50	1	-29	10	-3	-80	-282	-0.5068	50	52	816	0	31.5
34	0	win	33	0	-33225409	50	36	2339302270	34	2	-25	7	-3	-30	-46	0.1402	34	36	686	0	43.0
-34	0	lose	67	0	33225409	-50	-36	2339302270	-34	-2	25	-7	3	30	46	-0.1402	-34	-36	-686	0	-43.0
-5	2	win	50	0	105895766	-17	-6	2339356858	-5	3	-23	-3	5	33	87	0.0848	-5	15	38	0	-11.5
5	-2	lose	50	0	-105895766	17	6	2339356858	5	-3	23	3	-5	-33	-87	-0.0848	5	-15	-38	0	11.5
33	0	win	50	0	53920986	18	13	2339383715	33	-9	20	1	3	-33	-98	-0.2666	33	7	-112	0	15.5
-33	0	lose	50	0	-53920986	-18	-13	2339383715	-33	9	-20	-1	-3	33	98	0.2666	-33	-7	112	0	-15.5
-10	-2	win	33	0	-105895766	-13	-19	2339452396	-10	0	4	0	-5	0	19	0.0216	-10	-25	-74	0	-16.0
10	2	lose	67	0	105895766	13	19	2339452396	10	0	-4	0	5	0	-19	-0.0216	10	25	74	0	16.0
5	5	win	50	0	-31640544	-34	13	2339478892	5	-4	30	5	-1	20	207	0.5108	5	33	180	0	-10.5
-5	-5	lose	50	0	31640544	34	-13	2339478892	-5	4	-30	-5	1	-20	-207	-0.5108	-5	-33	-180	0	10.5
0	12	win	50	36	9417970	-3	17	2339501046	0	0	0	-7	7	25	-41	0.0763	0	8	-282	0	7.0
0	-12	lose	50	-36	-9417970	3	-17	2339501046	0	0	0	7	-7	-25	41	-0.0763	0	-8	282	0	-7.0
43	0	win	67	0	53920986	36	24	2339530722	43	-7	17	1	3	-50	-573	0.545	43	17	234	0	30.0
-43	0	lose	33	0	-53920986	-36	-24	2339530722	-43	7	-17	-1	-3	50	573	-0.545	-43	-17	-234	0	-30.0
15	5	win	67	0	-31640544	-9	22	2339573779	15	-3	23	6	-1	20	197	-0.0606	15	24	102	0	6.5
-15	-5	lose	33	0	31640544	9	-22	2339573779	-15	3	-23	-6	1	-20	-197	0.0606	-15	-24	-102	0	-6.5
-37	0	win	50	0	50537439	-31	-42	2339544836	-37	9	-29	-8	1	-17	-278	0.3829	-37	-20	-42	0	-36.5
37	0	lose	50	0	-50537439	31	42	2339544836	37	-9	29	8	-1	17	278	-0.3829	37	20	42	0	36.5
34	-5	win	50	0	-20256923	16	36	2339614293	34	-11	36	1	1	-50	-304	0.0145	34	-14	-250	0	26.0
-34	5	lose	50	0	20256923	-16	-36	2339614293	-34	11	-36	-1	-1	50	304	-0.0145	-34	14	250	0	-26.0
39	-5	win	67	0	-20256923	44	30	2339708397	39	-10	34	1	1	-43	-241	-0.1899	39	-20	-284	0	37.0
-39	5	lose	33	0	20256923	-44	-30	2339708397	-39	10	-34	-1	-1	43	241	0.1899	-39	20	284	0	-37.0
-23	0	win	67	0	50537439	5	23	2339698129	-23	7	-25	-6	1	-33	-661	-0.0126	-23	13	499	0	14.0
23	0	lose	33	0	-50537439	-5	-23	2339698129	23	-7	25	6	-1	33	661	0.0126	23	-13	-499	0	-14.0
0	0	win	50	0	50249475	-12	6	2339692096	0	4	-11	-5	6	0	-200	0.3957	0	0	314	0	-3.0
0	0	lose	50	0	-50249475	12	-6	2339692096	0	-4	11	5	-6	0	200	-0.3957	0	0	-314	0	3.0
-5	-2	win	50	0	-36890178	0	21	2340020714	-5	5	-17	7	3	50	308	0.1773	-5	-33	-357	0	10.5
5	2	lose	50	0	36890178	0	-21	2340020714	5	-5	17	-7	-3	-50	-308	-0.1773	5	33	357	0	-10.5
12	3	win	50	33	42096477	6	6	2340253964	12	-1	-14	-2	3	7	172	0.2051	12	-37	-680	0	6.0
-12	-3	lose	50	-33	-42096477	-6	-6	2340253964	-12	1	14	2	-3	-7	-172	-0.2051	-12	37	680	0	-6.0
10	-2	win	67	0	-36890178	6	29	2340232452	10	3	-17	9	3	33	-4	-0.1883	10	0	260	0	17.5
-10	2	lose	33	0	36890178	-6	-29	2340232452	-10	-3	17	-9	-3	-33	4	0.1883	-10	0	-260	0	-17.5
18	3	win	67	31	42096477	11	48	2340355178	18	-1	-13	-1	3	11	215	0.0128	18	-37	-660	0	29.5
-18	-3	lose	33	-31	-42096477	-11	-48	2340355178	-18	1	13	1	-3	-11	-215	-0.0128	-18	37	660	0	-29.5
12	0	win	50	0	37928141	-4	0	2340417387	12	-10	14	-7	-8	-50	-104	-0.1016	12	-10	-668	0	-2.0
-12	0	lose	50	0	-37928141	4	0	2340417387	-12	10	-14	7	8	50	104	0.1016	-12	10	668	0	2.0
-23	0	win	33	0	-37928141	17	-10	2340498996	-23	11	-25	3	8	40	-45	0.1295	-23	17	820	0	3.5
23	0	lose	67	0	37928141	-17	10	2340498996	23	-11	25	-3	-8	-40	45	-0.1295	23	-17	-820	0	-3.5
7	-7	win	50	0	32678507	10	11	2340596245	7	5	-31	4	-4	-12	-156	-0.0925	7	-11	-85	0	10.5
-7	7	lose	50	0	-32678507	-10	-11	2340596245	-7	-5	31	-4	4	12	156	0.0925	-7	11	85	0	-10.5
-12	0	win	50	0	-50639427	10	-25	2340892374	-12	-3	14	-2	3	-55	-694	-0.1877	-12	42	472	0	-7.5
12	0	lose	50	0	50639427	-10	25	2340892374	12	3	-14	2	-3	55	694	0.1877	12	-42	-472	0	7.5
0	0	win	67	0	-50639427	-11	7	2340950024	0	-4	12	-1	3	-60	-674	-0.5264	0	50	520	0	-2.0
0	0	lose	33	0	50639427	11	-7	2340950024	0	4	-12	1	-3	60	674	0.5264	0	-50	-520	0	2.0
18	-1	win	50	17	-79073456	22	35	2341008795	18	-6	19	4	0	25	448	0.2773	18	-36	-301	0	28.5
-18	1	lose	50	-17	79073456	-22	-35	2341008795	-18	6	-19	-4	0	-25	-448	-0.2773	-18	36	301	0	-28.5
-25	1	win	33	-14	79073456	-41	-32	2341076862	-25	7	-28	-6	0	-10	-384	0.5224	-25	25	232	0	-36.5
25	-1	lose	67	14	-79073456	41	32	2341076862	25	-7	28	6	0	10	384	-0.5224	25	-25	-232	0	36.5
15	-1	win	50	14	-79073456	4	-44	2341141783	15	-5	15	4	0	-7	143	-0.3943	15	-18	-183	0	-20.0
-15	1	lose	50	-14	79073456	-4	44	2341141783	-15	5	-15	-4	0	7	-143	0.3943	-15	18	183	0	20.0
26	-1	win	50	0	-55176843	17	24	2341179604	26	-12	39	0	-3	-75	-322	-0.1961	26	-27	-1005	0	20.5
-26	1	lose	50	0	55176843	-17	-24	2341179604	-26	12	-39	0	3	75	322	0.1961	-26	27	1005	0	-20.5
33	-1	win	67	0	-55176843	8	0	2341251653	33	-12	35	1	-3	-60	-214	-0.4801	33	-31	-1038	0	4.0
-33	1	lose	33	0	55176843	-8	0	2341251653	-33	12	-35	-1	3	60	214	0.4801	-33	31	1038	0	-4.0
13	-1	win	75	0	-109414113	3	22	2341377121	13	1	-14	3	-4	8	-150	-0.1679	13	4	-490	0	12.5
-13	1	lose	25	0	109414113	-3	-22	2341377121	-13	-1	14	-3	4	-8	150	0.1679	-13	-4	490	0	-12.5
19	-1	win	80	0	-109414113	15	24	2341487295	19	-1	-4	4	-4	4	-172	-0.1716	19	6	-495	0	19.5
-19	1	lose	20	0	109414113	-15	-24	2341487295	-19	1	4	-4	4	-4	172	0.1716	-19	-6	495	0	-19.5
4	1	win	50	0	107762468	-35	12	2341777762	4	1	-6	6	-8	-25	-630	0.0411	4	-7	4	0	-11.5
-4	-1	lose	50	0	-107762468	35	-12	2341777762	-4	-1	6	-6	8	25	630	-0.0411	-4	7	-4	0	11.5
12	1	win	67	0	107762468	19	7	2341919205	12	0	-5	7	-8	-35	-615	-0.0835	12	0	62	0	13.0
-12	-1	lose	33	0	-107762468	-19	-7	2341919205	-12	0	5	-7	8	35	615	0.0835	-12	0	-62	0	-13.0
5	-8	win	50	0	-75083961	12	4	2342078911	5	3	-19	-2	4	-5	208	-0.1409	5	6	-85	0	8.0
-5	8	lose	50	0	75083961	-12	-4	2342078911	-5	-3	19	2	-4	5	-208	0.1409	-5	-6	85	0	-8.0
-11	8	win	33	0	75083961	-35	-69	2342232730	-11	-2	12	1	-4	8	-220	0.2882	-11	-13	86	0	-52.0
11	-8	lose	67	0	-75083961	35	69	2342232730	11	2	-12	-1	4	-8	220	-0.2882	11	13	-86	0	52.0
5	-8	win	50	0	-75083961	15	-46	2342341468	5	3	-18	-2	4	-15	102	0.2575	5	17	-30	0	-15.5
-5	8	lose	50	0	75083961	-15	46	2342341468	-5	-3	18	2	-4	15	-102	-0.2575	-5	-17	30	0	15.5
8	0	win	50	-12	54370872	19	33	2343182498	8	-2	9	-1	-1	-33	-389	0.2184	8	-12	-43	0	26.0
-8	0	lose	50	12	-54370872	-19	-33	2343182498	-8	2	-9	1	1	33	389	-0.2184	-8	12	43	0	-26.0
8	0	win	50	-11	54370872	-2	7	2343361215	8	-2	15	0	-1	-17	-162	0.1875	8	-12	-62	0	2.5
-8	0	lose	50	11	-54370872	2	-7	2343361215	-8	2	-15	0	1	17	162	-0.1875	-8	12	62	0	-2.5
18	-2	win	50	0	54237270	2	3	2343557932	18	-12	46	-3	1	-75	-277	0.914	18	-37	-540	0	2.5
-18	2	lose	50	0	-54237270	-2	-3	2343557932	-18	12	-46	3	-1	75	277	-0.914	-18	37	540	0	-2.5
22	-2	win	67	0	54237270	28	6	2343659407	22	-13	49	-1	1	-80	-302	0.1264	22	-32	-518	0	17.0
-22	2	lose	33	0	-54237270	-28	-6	2343659407	-22	13	-49	1	-1	80	302	-0.1264	-22	32	518	0	-17.0
27	-2	win	75	0	54237270	34	46	2343759316	27	-13	52	1	1	-67	-236	-0.1302	27	-35	-532	0	40.0
